Class Name,Objects,Shallow Heap,Retained Heap,Percentage of Retained Heap
24
java.lang.String,60475,1451551,4777232209,45.988
java.lang.Class,1047,14513,272908,17.21
java.util.ArrayList,0,5,527750286,4.959
java.lang.Thread,9,1497,15887192,4.651
javax.swing.UIManager$LAFState,0,12,18519,1.984
com.sun.jmx.mbeanserver.PerInterface,0,141,17371,1.862
javax.swing.JTabbedPane,0,145,12548,1.346
java.io.PrintStream,0,32,22992,1.118
com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter,0,111,10281,1.102
sun.net.www.MimeTable,0,0,9834,1.053
sun.security.provider.Sun,0,30,6960,0.745
sun.awt.windows.WDesktopProperties,0,8,6351,0.681
sun.font.CompositeFont,0,726,5184,0.556
char[],53,4615,4615,0.494
java.lang.ref.SoftReference,13,595,4460,0.479
java.util.logging.LogManager,0,12,3414,0.366
int[],0,3145,3145,0.338
sun.misc.MetaIndex,0,47,3117,0.334
com.sun.jmx.interceptor.DefaultMBeanServerInterceptor,0,12,2928,0.315
javax.management.ObjectName,0,248,2539,0.273
javax.management.MBeanOperationInfo,0,260,2298,0.246
java.lang.reflect.Method,14,1561,2200,0.235
javax.management.MBeanAttributeInfo,14,607,1987,0.213
javax.management.openmbean.OpenMBeanAttributeInfoSupport,8,741,1941,0.209
javax.management.openmbean.CompositeType,0,135,1835,0.195
sun.font.TrueTypeGlyphMapper,0,34,1754,0.188
sun.misc.Launcher$ExtClassLoader,0,25,1754,0.188
com.sun.jmx.remote.internal.ArrayNotificationBuffer,0,17,1747,0.187
sun.awt.windows.WFontConfiguration,0,30,1714,0.183
java.util.HashMap,0,26,1403,0.151
javax.management.openmbean.ArrayType,0,154,1214,0.132
sun.management.MemoryPoolImpl,0,135,1167,0.126
sun.font.TrueTypeFont,0,163,1091,0.119
java.lang.ref.Finalizer,20,795,1074,0.117
sun.misc.Launcher$AppClassLoader,0,25,921,0.1
sun.reflect.DelegatingMethodAccessorImpl,0,95,904,0.097
java.util.logging.Logger,6,768,874,0.093
sun.awt.image.ToolkitImage,0,15,854,0.092
java.awt.Font,0,475,656,0.071
sun.awt.AppContext,0,17,648,0.07
java.lang.Class[],21,617,617,0.063
com.sun.jmx.mbeanserver.MXBeanLookup,0,3,571,0.062
javax.management.MBeanAttributeInfo[],0,12,558,0.061
java.lang.reflect.Constructor,0,47,554,0.061
sun.java2d.loops.SurfaceType,17,554,554,0.061
long[],0,551,551,0.06
java.util.jar.JarFile,0,74,541,0.058
java.awt.image.IndexColorModel,0,30,538,0.058
sun.font.FontDesignMetrics,0,25,525,0.057
